timeframe,trade_index,timestamp,equity,return_pct,series_id,option_type
5m,118,2025-08-08T15:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-19,PE
5m,119,2025-08-11T14:35:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-21,CE
5m,120,2025-08-12T14:45:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-12,PE
5m,121,2025-08-12T15:30:00+05:30,0.0,-99.9949,SENSEX|weekly|2025-08-12,CE
5m,122,2025-08-14T15:30:00+05:30,0.0,-99.9741,NIFTY|weekly|2025-08-14,CE
5m,123,2025-08-14T15:30:00+05:30,0.0,-60.4604,NIFTY|weekly|2025-08-14,PE
5m,124,2025-08-18T09:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-19,CE
5m,125,2025-08-18T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-21,CE
5m,126,2025-08-19T15:30:00+05:30,0.0,-99.9836,SENSEX|weekly|2025-08-19,PE
5m,127,2025-08-19T15:30:00+05:30,0.0,2.6307,SENSEX|weekly|2025-08-19,CE
5m,128,2025-08-20T14:50:00+05:30,0.0,30.0,SENSEX|monthly|2025-09-25,CE
5m,129,2025-08-21T10:05:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-21,CE
5m,130,2025-08-21T15:30:00+05:30,0.0,-99.9618,NIFTY|weekly|2025-08-21,PE
5m,131,2025-08-21T15:30:00+05:30,0.0,-5.7903,NIFTY|weekly|2025-08-21,CE
5m,132,2025-08-22T09:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-04,PE
5m,133,2025-08-26T09:40:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-04,PE
5m,134,2025-08-26T15:30:00+05:30,0.0,-99.9931,SENSEX|monthly|2025-08-26,CE
5m,135,2025-08-26T15:30:00+05:30,0.0,-9.3792,SENSEX|monthly|2025-08-26,PE
5m,136,2025-08-28T09:20:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-04,PE
5m,137,2025-08-29T15:10:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-11,PE
5m,138,2025-09-02T13:55:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-11,PE
5m,139,2025-09-04T09:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-11,CE
5m,140,2025-09-04T09:40:00+05:30,0.0,30.0,SENSEX|monthly|2025-09-25,CE
5m,141,2025-09-04T15:30:00+05:30,0.0,-99.9933,SENSEX|weekly|2025-09-04,CE
5m,142,2025-09-04T15:30:00+05:30,0.0,-20.1758,SENSEX|weekly|2025-09-04,PE
5m,143,2025-09-05T10:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-11,PE
5m,144,2025-09-05T10:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-18,PE
5m,145,2025-09-10T09:45:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-11,CE
5m,146,2025-09-10T10:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-18,CE
5m,147,2025-09-11T09:55:00+05:30,0.0,30.0,SENSEX|monthly|2025-09-25,CE
5m,148,2025-09-11T15:30:00+05:30,0.0,-99.9638,SENSEX|weekly|2025-09-11,PE
5m,149,2025-09-11T15:30:00+05:30,0.0,2.3928,SENSEX|weekly|2025-09-11,CE
5m,150,2025-09-12T11:20:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-18,CE
5m,151,2025-09-16T15:05:00+05:30,0.0,30.0,SENSEX|weekly|2025-09-18,CE
5m,152,2025-09-17T10:45:00+05:30,0.0,30.0,SENSEX|monthly|2025-10-30,CE
5m,153,2025-09-18T09:20:00+05:30,0.0,30.0,SENSEX|monthly|2025-09-25,CE
5m,154,2025-09-18T15:30:00+05:30,0.0,-99.9904,SENSEX|weekly|2025-09-18,PE
5m,155,2025-09-18T15:30:00+05:30,0.0,14.8229,SENSEX|weekly|2025-09-18,CE
5m,156,2025-09-22T14:45:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-01,PE
5m,157,2025-09-25T10:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-01,PE
5m,158,2025-09-25T15:30:00+05:30,0.0,-99.9939,SENSEX|monthly|2025-09-25,PE
5m,159,2025-09-25T15:30:00+05:30,0.0,-54.2867,SENSEX|monthly|2025-09-25,CE
5m,160,2025-09-26T09:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-09,PE
5m,161,2025-09-26T09:20:00+05:30,0.0,30.0,SENSEX|monthly|2025-10-30,PE
5m,162,2025-10-01T15:30:00+05:30,0.0,-99.9939,SENSEX|weekly|2025-10-01,CE
5m,163,2025-10-01T15:30:00+05:30,0.0,-18.8175,SENSEX|weekly|2025-10-01,PE
5m,164,2025-10-06T11:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-16,CE
5m,165,2025-10-06T13:05:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-09,CE
5m,166,2025-10-09T15:30:00+05:30,0.0,-99.985,SENSEX|weekly|2025-10-09,PE
5m,167,2025-10-09T15:30:00+05:30,0.0,-10.0943,SENSEX|weekly|2025-10-09,CE
5m,168,2025-10-10T09:50:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-23,CE
5m,169,2025-10-14T12:10:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-23,PE
5m,170,2025-10-15T13:40:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-23,CE
5m,171,2025-10-16T09:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-16,CE
5m,172,2025-10-16T09:20:00+05:30,0.0,30.0,SENSEX|monthly|2025-11-27,CE
5m,173,2025-10-16T12:30:00+05:30,0.0,30.0,SENSEX|weekly|2025-10-23,CE
5m,174,2025-10-16T15:30:00+05:30,0.0,-99.9601,SENSEX|weekly|2025-10-16,PE
5m,175,2025-10-20T09:20:00+05:30,0.0,30.0,SENSEX|monthly|2025-10-30,CE
