underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
IDEA,20,87,71.3,0.13,20,20.0,-49.15
IDEA,30,87,65.5,2.37,30,30.0,-50.14
IDEA,50,87,54.0,3.28,50,49.74,-51.32
IDEA,75,87,42.5,2.16,-50.0,73.99,-51.0
IDFCFIRSTB,20,68,75.0,4.2,20.0,19.75,-42.45
IDFCFIRSTB,30,68,64.7,3.01,30.0,29.48,-45.51
IDFCFIRSTB,50,68,50.0,-1.1,1.12,45.94,-48.13
IDFCFIRSTB,75,68,39.7,-3.69,-50.0,65.07,-48.96
IEX,20,57,73.7,-0.39,20,19.55,-56.24
IEX,30,57,59.6,-4.59,30,28.86,-54.05
IEX,50,57,54.4,1.24,50,47.46,-53.86
IEX,75,57,40.4,-5.0,-50.46,67.03,-53.72
INDHOTEL,20,62,69.4,-2.47,20.0,19.78,-52.81
INDHOTEL,30,62,66.1,1.59,30.0,29.53,-52.96
INDHOTEL,50,62,46.8,-5.24,-5.53,46.93,-51.08
INDHOTEL,75,62,38.7,-4.76,-50.65,69.2,-51.47
INDIANB,20,50,70.0,-2.0,20.0,19.72,-52.69
INDIANB,30,50,62.0,-3.06,30.0,28.24,-54.13
INDIANB,50,50,52.0,-2.86,8.93,45.6,-55.35
INDIANB,75,50,44.0,-1.84,-50.25,65.98,-55.13
INDIGO,20,59,64.4,-4.96,20,19.88,-49.9
INDIGO,30,59,52.5,-8.44,30,29.53,-50.47
INDIGO,50,59,47.5,-3.92,-6.86,48.76,-51.51
INDIGO,75,59,37.3,-7.4,-50.23,67.85,-52.14
INDUSINDBK,20,63,74.6,1.83,20,20.0,-51.55
INDUSINDBK,30,63,66.7,2.51,30,29.68,-51.81
INDUSINDBK,50,63,49.2,-2.31,-11.79,47.64,-50.7
INDUSINDBK,75,63,36.5,-7.31,-50.31,68.56,-50.94
INDUSTOWER,20,54,68.5,-2.06,20.0,20.0,-50.08
INDUSTOWER,30,54,59.3,-2.88,30.0,30.0,-50.71
INDUSTOWER,50,54,51.9,1.31,50.0,50.0,-51.12
INDUSTOWER,75,54,42.6,-0.43,-50.0,71.34,-53.67
INFY,20,72,58.3,-9.29,20.0,19.67,-49.84
INFY,30,72,54.2,-7.59,30.0,29.15,-51.0
INFY,50,72,41.7,-10.05,-44.29,47.56,-51.21
INFY,75,72,36.1,-7.36,-50.38,70.26,-51.24
INOXWIND,20,42,76.2,3.13,20.0,20.0,-50.87
INOXWIND,30,42,69.0,4.91,30.0,30.0,-51.07
INOXWIND,50,42,52.4,0.1,50.0,50.0,-54.78
INOXWIND,75,42,50.0,6.04,-1.46,68.08,-56.01
IOC,20,60,63.3,-8.39,20.0,19.72,-56.95
IOC,30,60,58.3,-5.75,30.0,29.12,-54.58
IOC,50,60,45.0,-9.35,-50.0,45.84,-54.5
IOC,75,60,38.3,-10.56,-50.46,60.64,-54.82
IREDA,20,55,67.3,-3.46,20,20.0,-51.67
IREDA,30,55,61.8,-1.25,30,30.0,-51.84
IREDA,50,55,54.5,4.17,50,50.0,-50.83
IREDA,75,55,41.8,-0.13,-50.26,72.2,-52.12
IRFC,20,50,68.0,-2.64,20.0,20.0,-50.76
IRFC,30,50,60.0,-2.35,30.0,30.0,-50.87
IRFC,50,50,54.0,0.97,18.9,45.63,-51.46
IRFC,75,50,46.0,1.86,-50.0,64.6,-51.58
ITC,20,65,70.8,-0.46,20,20.0,-50.01
ITC,30,65,63.1,0.09,30,30.0,-51.01
ITC,50,65,50.8,-0.68,31.3,49.43,-52.36
ITC,75,65,38.5,-4.3,-50.68,72.81,-52.5
JINDALSTEL,20,51,70.6,-0.32,20,19.47,-47.83
JINDALSTEL,30,51,60.8,-1.89,30,28.87,-49.57
JINDALSTEL,50,51,43.1,-8.76,-50.0,46.59,-50.74
JINDALSTEL,75,51,35.3,-8.15,-50.56,68.05,-49.71
JIOFIN,20,62,77.4,3.28,20.0,20.0,-54.06
JIOFIN,30,62,72.6,7.06,30.0,30.0,-53.66
JIOFIN,50,62,62.9,11.76,50.0,50.0,-53.09
JIOFIN,75,62,53.2,13.54,55.56,72.11,-53.12
JSWENERGY,20,67,68.7,-3.57,20,19.66,-54.47
JSWENERGY,30,67,59.7,-3.63,30,29.36,-52.51
JSWENERGY,50,67,41.8,-11.01,-50.58,48.37,-53.64
JSWENERGY,75,67,38.8,-4.06,-50.66,72.28,-52.47
JSWSTEEL,20,75,58.7,-11.9,20,20.0,-57.18
JSWSTEEL,30,75,50.7,-13.1,8.41,29.43,-56.79
JSWSTEEL,50,75,44.0,-9.96,-50.07,48.74,-56.09
JSWSTEEL,75,75,30.7,-16.75,-52.0,71.72,-55.88
JUBLFOOD,20,54,64.8,-5.24,20.0,19.56,-50.92
JUBLFOOD,30,54,63.0,-0.45,30.0,29.26,-50.96
JUBLFOOD,50,54,53.7,1.57,28.5,46.96,-51.08
JUBLFOOD,75,54,40.7,-3.01,-50.31,67.73,-51.65
KALYANKJIL,20,50,70.0,-1.24,20.0,20.0,-50.79
KALYANKJIL,30,50,62.0,-1.49,30.0,29.48,-52.02
KALYANKJIL,50,50,50.0,-2.18,6.46,46.78,-51.14
